"particle_id","centroid_y","centroid_x","tile_row","tile_col","local_y","local_x","area_px","max_intensity","mean_intensity","integrated_intensity","bbox_width","bbox_height","equivalent_diameter","aspect_ratio","x_um","y_um","feret_max_um","feret_min_um","area_um2"
143,759.17,930.2,1,1,159.17,330.2,30,109.68,73.21,2196.4,7,5,6.18,1.4,5038.58333333333,8887.82916666667,37.9166666666667,27.0833333333333,880.208333333333
144,762.85,1831.61,1,3,162.85,31.61,33,106.6,76.56,2526.62,8,5,6.48,1.6,9921.22083333333,8867.89583333333,43.3333333333333,27.0833333333333,968.229166666667
145,764.74,965.26,1,1,164.74,365.26,31,94.59,66.07,2048.18,7,6,6.28,1.17,5228.49166666667,8857.65833333333,37.9166666666667,32.5,909.548611111111
146,771.48,566.06,1,0,171.48,566.06,66,103.85,73.99,4883.25,10,10,9.17,1,3066.15833333333,8821.15,54.1666666666667,54.1666666666667,1936.45833333333
147,771.85,219.59,1,0,171.85,219.59,34,92.24,70.02,2380.64,6,7,6.58,1.17,1189.44583333333,8819.14583333333,37.9166666666667,32.5,997.569444444445
148,777.17,1813.75,1,3,177.17,13.75,24,100.4,74.83,1795.9,5,7,5.53,1.4,9824.47916666667,8790.32916666667,37.9166666666667,27.0833333333333,704.166666666667
149,778.13,1372.55,1,2,178.13,172.55,31,173.92,108.07,3350.16,8,5,6.28,1.6,7434.64583333333,8785.12916666667,43.3333333333333,27.0833333333333,909.548611111111
150,780.82,608.5,1,1,180.82,8.5,44,152.66,90.02,3961.04,9,7,7.48,1.29,3296.04166666667,8770.55833333333,48.75,37.9166666666667,1290.97222222222
151,785.54,468.49,1,0,185.54,468.49,59,89.64,67.14,3961.49,9,10,8.67,1.11,2537.65416666667,8744.99166666667,54.1666666666667,48.75,1731.07638888889
152,788.48,361.85,1,0,188.48,361.85,27,79.76,62.48,1686.93,6,7,5.86,1.17,1960.02083333333,8729.06666666667,37.9166666666667,32.5,792.1875
153,790.78,1947.28,1,3,190.78,147.28,32,105.97,62.9,2012.82,6,7,6.38,1.17,10547.7666666667,8716.60833333333,37.9166666666667,32.5,938.888888888889
154,792.52,2151.39,1,3,192.52,351.39,33,125.69,85.68,2827.51,8,6,6.48,1.33,11653.3625,8707.18333333333,43.3333333333333,32.5,968.229166666667
