"ldir_row","ldir_x_aligned","ldir_y_aligned","raman_row","raman_x_norm","raman_y_norm","dx","dy","dist"
121,1450.86267513328,524.403208340858,596,1453.29122854117,526.589584924456,2.42855340788606,2.18637658359842,3.26773839532213
122,-893.026894043916,-2364.03556522965,365,-896.367390626213,-2362.69256271039,-3.34049658229685,1.34300251925788,3.60035736879965
123,-1125.10345073245,-5986.98303840481,39,-1132.88323501833,-5990.22562269541,-7.77978428588585,-3.24258429059955,8.42848719620309
124,2735.16263626824,-1506.92777539795,460,2919.45983673894,-1496.99864682854,184.297200470696,9.9291285694062,184.564475713729
125,5692.98903191244,-2558.92308233177,180,5688.76185942733,-2550.41266250705,-4.22717248510708,8.51041982471588,9.50243299433168
126,3510.6182124652,1977.26110548696,607,3403.9728771927,1972.09176011709,-106.645335272503,-5.16934536987219,106.770546813892
127,1709.22365469355,3654.86859819617,244,1719.65858727404,3658.70232036966,10.4349325804833,3.83372217348733,11.1168900175688
128,-2856.92583693205,-5624.60886143632,81,-2864.27106678203,-5630.85931543941,-7.3452298499783,-6.25045400309318,9.64471755904732
129,1390.37613717901,1682.96896822341,208,1560.06779906771,1687.35423871298,169.691661888697,4.38527048956757,169.748315784913
130,4462.8201380407,-627.59932677609,90,4456.81282528774,-619.823379277174,-6.00731275296221,7.77594749891637,9.82614705862914
131,1105.71818850719,337.557189509845,23,1119.18389495812,337.147282377367,13.4657064509292,-0.409907132477997,13.4719439606856
132,-2855.6637829851,-5007.16828759868,302,-2864.27106678203,-5010.29225770183,-8.60728379693774,-3.12397010315635,9.15666552662276
133,234.186703003689,3702.7116137383,29,240.286424656318,3700.03518637994,6.09972165262832,-2.67642735835943,6.6610710583297
134,-1722.30262214109,1959.66648739428,73,-1717.8581025804,1957.74007053019,4.4445195606877,-1.92641686409615,4.8440516161174
135,-4289.98582387308,1216.99080038273,147,-4285.66240346867,1203.98933342617,4.32342040441108,-13.0014669565621,13.7014636815143
136,3400.84403241995,1971.03881555057,607,3403.9728771927,1972.09176011709,3.12884477274793,1.05294456651836,3.30126670720688
