"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file"
"664",4888.3939121194,-839.034682684075,5769.495,118.892,73.901,73.284,120.763,"Polyethylene terephtalate (PET)",90.36,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"14",6015.86264606632,833.798255565069,527.945,35.429,20.538,20.538,35.429,"Cellulose Acetate Butyrate (CAB)",90.32,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"176",7310.95911438823,1452.64311055223,944.006,35.399,35.274,34.17,37.098,"Polyacrylamide/acrylate",90.31,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"665",5269.57478754748,980.759556934931,1305.527,53.993,33.802,33.802,56.224,"Cellulose Acetate Butyrate (CAB)",90.16,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"711",1661.56002540065,122.52851963827,347.844,29.286,19.317,19.317,29.524,"Cellulose Acetate Butyrate (CAB)",90.13,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"57",7869.52687311041,-3226.58176236087,737.376,37.349,26.379,26.379,37.314,"Cellulose Acetate Butyrate (CAB)",90.12,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"291",4450.38034592719,547.912598994007,593.856,35.246,21.609,21.609,36.033,"Cellulose Acetate Butyrate (CAB)",90.11,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"383",6282.23000479919,-1538.24899935788,787.633,40.865,25.633,25.633,42.048,"Polyacrylamide/acrylate",90.09,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"25",1806.22505643661,-3173.76754468108,861.618,35.971,33.627,31.256,44.158,"Cellulose Acetate Butyrate (CAB)",90.02,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"734",934.21639713653,3591.6189265839,899.681,55.611,28.195,28.195,55.753,"Cellulose Acetate Butyrate (CAB)",90.01,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"773",1071.4185495873,3530.19369515197,862.442,35.707,33.385,29.852,43.055,"Polyacrylamide/acrylate",90.01,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"59",6831.03861460227,-50.2658229880135,776.923,35.346,30.411,30.411,36.128,"Cellulose Acetate Butyrate (CAB)",89.94,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"241",8076.19120316178,3132.36485980308,1351.005,66.458,31.238,31.238,66.624,"Cellulose Acetate Butyrate (CAB)",89.85,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"516",5235.13073253892,3848.80120398116,382.282,25.052,22.874,21.189,28.497,"Cellulose Acetate Butyrate (CAB)",89.79,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"764",869.920827787215,-983.699713720034,714.967,46.503,22.249,22.249,46.212,"Cellulose Acetate Butyrate (CAB)",89.73,"Comparstic Raman F2Ba Au IAEA 240930.csv"
"445",3270.67146188396,2876.33071757277,869.362,49.998,23.735,23.735,49.944,"Polyamide (PA)",89.72,"Comparstic Raman F2Ba Au IAEA 240930.csv"
