"particle_id","x_um","y_um","area_um2","major_um","minor_um","feret_min_um","feret_max_um","material","quality","source_file","x_norm","y_norm"
"536",6969.96296980347,-2670.3102739726,605.555,35.772,25.073,24.91,37.314,"Polyacrylamide/acrylate",81.23,"Comparstic Raman F2Ba Au IAEA 240930.csv",909.732075379252,-4508.62633879361
"181",9358.65818464722,3208.71584840539,9978.883,119.974,110.443,106.569,127.464,"Polyethylene terephtalate (PET)",80.93,"Comparstic Raman F2Ba Au IAEA 240930.csv",3298.427290223,1370.39978358438
"246",7202.46034111126,6452.19769504495,381.788,50.111,15.284,15.284,49.806,"Cellulose Acetate Butyrate (CAB)",80.79,"Comparstic Raman F2Ba Au IAEA 240930.csv",1142.22944668704,4613.88163022394
"677",6110.58379733986,986.500232769692,372.89,25.474,20.808,20.488,28.009,"Cellulose Acetate Butyrate (CAB)",80.43,"Comparstic Raman F2Ba Au IAEA 240930.csv",50.3529029156425,-851.815832051316
"392",2613.36407880391,3997.48470810146,2427.492,70.215,45.218,45.195,71.443,"Polyamide (PA)",80.39,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3446.86681562031,2159.16864328045
"7",9445.91645733557,1605.91915534033,2402.61,65.042,50.408,50.057,70.737,"Polyacrylamide/acrylate",80.3,"Comparstic Raman F2Ba Au IAEA 240930.csv",3385.68556291135,-232.396909480678
"121",3828.66515302266,2390.66954195205,412.766,31.965,21.345,21.345,31.835,"Polyacrylamide/acrylate",80.25,"Comparstic Raman F2Ba Au IAEA 240930.csv",-2231.56574140156,552.353477131042
"544",7349.9957100646,-2684.6619635595,767.366,70.679,33.82,33.82,69.819,"Polyacrylamide/acrylate",77.82,"Comparstic Raman F2Ba Au IAEA 240930.csv",1289.76481564038,-4522.97802838051
"225",11765.1494945787,616.80070901113,579.52,27.698,27.366,25.887,30.317,"Polyacrylamide/acrylate",77.16,"Comparstic Raman F2Ba Au IAEA 240930.csv",5704.91860015448,-1221.51535580988
"40",8976.90324163566,4308.05527076199,7157.41,335.248,77.726,77.726,321.478,"Polyamide (PA)",77.09,"Comparstic Raman F2Ba Au IAEA 240930.csv",2916.67234721144,2469.73920594098
"678",7496.38294385099,167.879858732877,593.856,33.888,23.363,23.363,33.888,"Polyacrylamide/acrylate",77.05,"Comparstic Raman F2Ba Au IAEA 240930.csv",1436.15204942677,-1670.43620608813
"285",2200.03541870117,-2337.35107555651,432.21,30.662,29.503,29.503,36.939,"Cellulose Acetate Butyrate (CAB)",76.98,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3860.19547572305,-4175.66714037752
"509",2180.51712086298,2825.81277022688,374.043,26.181,20.964,20.964,30.808,"Polyacrylamide/acrylate",76.67,"Comparstic Raman F2Ba Au IAEA 240930.csv",-3879.71377356124,987.496705405872
"492",5826.42034351923,4773.05001337757,559.252,29.59,25.052,24.878,29.852,"Polyamide (PA)",76.53,"Comparstic Raman F2Ba Au IAEA 240930.csv",-233.810550904987,2934.73394855656
"768",9467.15695792419,2545.09372190711,775.44,40.656,25.34,25.34,40.05,"Polyamide (PA)",75.88,"Comparstic Raman F2Ba Au IAEA 240930.csv",3406.92606349997,706.777657086102
"481",7262.16336979277,4794.29051396618,510.808,28.158,24.701,24.701,28.821,"Polyacrylamide/acrylate",75.83,"Comparstic Raman F2Ba Au IAEA 240930.csv",1201.93247536855,2955.97444914517
"602",9422.95375399653,-2790.29039891909,321.315,31.256,15.831,15.831,31.256,"Cellulose Acetate Butyrate (CAB)",74.23,"Comparstic Raman F2Ba Au IAEA 240930.csv",3362.72285957231,-4628.6064637401
"147",7763.32437016734,3298.27039142765,1888.013,66.129,35.144,35.144,66.166,"Polyamide (PA)",73.52,"Comparstic Raman F2Ba Au IAEA 240930.csv",1703.09347574312,1459.95432660664
"119",8746.1280730783,-108.246648919093,795.048,37.036,29.099,27.508,43.434,"Cellulose Acetate Butyrate (CAB)",73.4,"Comparstic Raman F2Ba Au IAEA 240930.csv",2685.89717865408,-1946.5627137401
"53",6397.61758907787,2450.37257063356,1765.583,49.117,46.682,46.63,50.319,"Polyamide (PA)",73.25,"Comparstic Raman F2Ba Au IAEA 240930.csv",337.386694653653,612.056505812552
