"particle_id","centroid_y","centroid_x","tile_row","tile_col","local_y","local_x","area_px","max_intensity","mean_intensity","integrated_intensity","bbox_width","bbox_height","equivalent_diameter","aspect_ratio","x_um","y_um","feret_max_um","feret_min_um","area_um2","centroid_px_x","centroid_px_y","coord_source"
63,822.39,1051.65,0,0,822.39,1051.65,46,100.26,84.14,3870.65,11,6,7.65,1.83,-3765.71,4361.786,28.6,15.6,310.96,1051.65,822.39,"circle_calibrated"
64,829.38,2355.75,0,1,829.38,1105.75,24,92.31,82.78,1986.63,7,4,5.53,1.75,-375.05,4343.612,18.2,10.4,162.24,2355.75,829.38,"circle_calibrated"
65,849.57,3142.72,0,2,849.57,642.72,341,153.76,94.61,32262.91,25,24,20.84,1.04,1671.072,4291.118,65,62.4,2305.16,3142.72,849.57,"circle_calibrated"
66,843.85,1319.99,0,1,843.85,69.99,130,107.49,89.21,11596.93,13,14,12.87,1.08,-3068.026,4305.99,36.4,33.8,878.8,1319.99,843.85,"circle_calibrated"
67,844,1795.2,0,1,844,545.2,10,99.86,88.92,889.21,4,3,3.57,1.33,-1832.48,4305.6,10.4,7.8,67.6,1795.2,844,"circle_calibrated"
68,849.5,1036.5,0,0,849.5,1036.5,42,82.94,78.56,3299.45,8,6,7.31,1.33,-3805.1,4291.3,20.8,15.6,283.92,1036.5,849.5,"circle_calibrated"
69,859.58,983.89,0,0,859.58,983.89,38,113.99,97.87,3718.98,7,7,6.96,1,-3941.886,4265.092,18.2,18.2,256.88,983.89,859.58,"circle_calibrated"
70,862,2251.73,0,1,862,1001.73,22,95.42,86.15,1895.26,5,7,5.29,1.4,-645.502,4258.8,18.2,13,148.72,2251.73,862,"circle_calibrated"
71,879.32,3680.18,0,2,879.32,1180.18,66,105.49,91.04,6008.74,9,9,9.17,1,3068.468,4213.768,23.4,23.4,446.16,3680.18,879.32,"circle_calibrated"
72,879.51,1078,0,0,879.51,1078,53,92.04,83.97,4450.4,9,8,8.21,1.12,-3697.2,4213.274,23.4,20.8,358.28,1078,879.51,"circle_calibrated"
73,888.22,1315.35,0,1,888.22,65.35,23,100.46,88.2,2028.57,6,5,5.41,1.2,-3080.09,4190.628,15.6,13,155.48,1315.35,888.22,"circle_calibrated"
74,889.77,2154.17,0,1,889.77,904.17,52,93.49,83.32,4332.43,11,8,8.14,1.38,-899.158,4186.598,28.6,20.8,351.52,2154.17,889.77,"circle_calibrated"
75,887.5,2629.8,0,2,887.5,129.8,10,120.85,94.63,946.31,3,4,3.57,1.33,337.48,4192.5,10.4,7.8,67.6,2629.8,887.5,"circle_calibrated"
76,891.82,2169.39,0,1,891.82,919.39,51,93.11,84.88,4328.85,8,8,8.06,1,-859.586,4181.268,20.8,20.8,344.76,2169.39,891.82,"circle_calibrated"
77,939.82,1258.51,0,1,939.82,8.51,7260,225.41,175.97,1277507.11,123,96,96.14,1.28,-3227.874,4056.468,319.8,249.6,49077.6,1258.51,939.82,"circle_calibrated"
78,895.16,3511.66,0,2,895.16,1011.66,50,94.36,85.36,4267.79,10,7,7.98,1.43,2630.316,4172.584,26,18.2,338,3511.66,895.16,"circle_calibrated"
79,898.76,4084.1,0,3,898.76,334.1,21,97.63,86.39,1814.14,5,6,5.17,1.2,4118.66,4163.224,15.6,13,141.96,4084.1,898.76,"circle_calibrated"
80,903.71,2024.59,0,1,903.71,774.59,41,90.24,81.99,3361.68,9,6,7.23,1.5,-1236.066,4150.354,23.4,15.6,277.16,2024.59,903.71,"circle_calibrated"
81,907.96,3065.21,0,2,907.96,565.21,135,131.87,92.8,12527.93,14,14,13.11,1,1469.546,4139.304,36.4,36.4,912.6,3065.21,907.96,"circle_calibrated"
82,905.65,914.42,0,0,905.65,914.42,40,89.35,82.18,3287.29,7,7,7.14,1,-4122.508,4145.31,18.2,18.2,270.4,914.42,905.65,"circle_calibrated"
83,918,4194.32,0,3,918,444.32,38,94.13,83.74,3182.03,10,5,6.96,2,4405.232,4113.2,26,13,256.88,4194.32,918,"circle_calibrated"
84,923.7,4120.15,0,3,923.7,370.15,61,97.87,85.11,5192,12,8,8.81,1.5,4212.39,4098.38,31.2,20.8,412.36,4120.15,923.7,"circle_calibrated"
85,925.2,4171,0,3,925.2,421,10,94.88,87.5,875.03,3,5,3.57,1.67,4344.6,4094.48,13,7.8,67.6,4171,925.2,"circle_calibrated"
86,938.8,2172.09,0,1,938.8,922.09,160,148.45,110.29,17645.63,11,20,14.27,1.82,-852.566,4059.12,52,28.6,1081.6,2172.09,938.8,"circle_calibrated"
