Identifier,Coord. [pixels],Coord. [µm],Max AAU score,Spectrum yielding score,Group,Group ID,No. of pixels [-],Area on map [µm²],Major dim [µm],Minor dim [µm],Feret min [µm],Volume [µm³],Mass [ng]
MP_-1,[94;300],[2350;7500],0.740,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_3,[100;107],[2500;2675],0.910,PET6,PET,6,51,31875.0,292.5,138.7,195.0,1769032.500,1769.03250
MP_-1,[97;111],[2425;2775],0.950,Protein4,Protein,25,14,8750.0,150.0,74.3,97.5,259953.063,259.95306
MP_-1,[98;74],[2450;1850],0.775,Protein4,Protein,25,5,3125.0,75.0,53.1,55.0,66314.570,66.31457
MP_-1,[98;143],[2450;3575],0.687,Protein4,Protein,25,2,1250.0,50.0,31.8,30.0,15915.494,15.91549
MP_-1,[100;128],[2500;3200],0.786,Protein4,Protein,25,4,2500.0,60.4,52.7,50.0,52739.305,52.73930
MP_-1,[100;191],[2500;4775],0.746,Protein4,Protein,25,5,3125.0,80.9,49.2,62.5,61476.977,61.47698
MP_-1,[102;207],[2550;5175],0.687,Cellulose7,Cellulose,26,2,1250.0,50.0,31.8,50.0,15915.494,15.91549
MP_-1,[104;190],[2600;4750],0.696,Protein1,Protein,25,3,1875.0,60.4,39.6,50.0,29665.861,29.66586
MP_-1,[104;82],[2600;2050],0.845,Cellulose6,Cellulose,26,6,3750.0,100.0,47.7,50.0,71619.727,71.61973
MP_-1,[106;118],[2650;2950],0.664,Protein4,Protein,25,1,625.0,31.8,25.0,25.0,6250.000,6.25000
MP_-1,[107;224],[2675;5600],0.838,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[107;322],[2675;8050],0.730,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_4,[123;51],[3075;1275],0.911,PET6,PET,6,225,140625.0,743.7,240.7,352.5,13542094.000,13542.09400
MP_-1,[110;260],[2750;6500],0.835,Protein4,Protein,25,4,2500.0,80.9,39.3,50.0,39345.266,39.34527
MP_-1,[111;314],[2775;7850],0.712,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
MP_-1,[112;202],[2800;5050],0.759,Protein4,Protein,25,3,1875.0,60.4,39.6,30.0,29665.861,29.66586
